id,name,year,runtime,rating,genre,image,description,director,stars
12,"Spider-Man: Across the Spider-Verse",2023,140,8.9,"Animation, Action, Adventure",https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Joaquim Dos Santos","['Kemp Powers', 'Justin K. Thompson', 'Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']"
13,"Pulp Fiction",1994,154,8.9,"Crime, Drama",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Quentin Tarantino","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
14,"Kimetsu no Yaiba: Tsuzumi Yashiki Hen",2021,87,8.9,"Animation, Action, Fantasy",https://m.media-amazon.com/images/M/MV5BNThhYWViMjMtNDMzZC00YjliLTllYWYtYTdlOTM1MmNjMDE4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,"Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.","Haruo Sotozaki",[]
15,"Tosun Pasa",1976,90,8.9,Comedy,https://m.media-amazon.com/images/M/MV5BM2VhZjkxZDAtOTQwMC00Yjk0LTgyOTQtNzQ3YzQ4NGFmOGI5XkEyXkFqcGdeQXVyMjQ2OTI2MzU@._V1_.jpg,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »","Kartal Tibet","['Kemal Sunal', 'Müjde Ar', 'Adile Nasit', 'Sener Sen']"
16,"Hababam Sinifi Sinifta Kaldi",1975,91,8.9,Comedy,https://m.media-amazon.com/images/M/MV5BMGQ0OTZkYzQtMzg4YS00ZDg0LWI1NDgtODA3ZTg0YTVkNzFlXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_.jpg,"A young and beautiful female teacher starts working in an all boys high school.","Ertem Egilmez","['Kemal Sunal', 'Münir Özkul', 'Semra Özdamar', 'Adile Nasit']"
17,Inception,2010,148,8.8,"Action, Adventure, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Christopher Nolan","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
18,"Forrest Gump",1994,142,8.8,"Drama, Romance",https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","Robert Zemeckis","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
19,"The Lord of the Rings: The Fellowship of the Ring",2001,178,8.8,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Peter Jackson","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
20,"Fight Club",1999,139,8.8,Drama,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","David Fincher","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
21,"Il buono, il brutto, il cattivo",1966,161,8.8,"Adventure, Western",https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,"A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","Sergio Leone","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
22,"The Lord of the Rings: The Two Towers",2002,179,8.8,"Action, Adventure, Drama",https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Peter Jackson","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
23,"Jai Bhim",2021,164,8.8,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BNzFkM2FhMzQtYjUwZi00N2Y3LWFkZWItMmZmMjQxNGQwZmNhXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_.jpg,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","T.J. Gnanavel","['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
24,"Kill Bill: The Whole Bloody Affair",2006,247,8.8,"Action, Crime, Thriller",https://m.media-amazon.com/images/M/MV5BYmFkNTc1MWYtYTVlNy00NmZmLTkzMjAtMWM0N2FmMWRkNWNhXkEyXkFqcGdeQXVyMTE5NDkxMA@@._V1_.jpg,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.","Quentin Tarantino","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']"
25,"777 Charlie",2022,164,8.8,"Adventure, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMDhhMjBlMWYtMDVlMy00ZjM3LTg3MTUtZDg0NjA0YzcxOGY4XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_.jpg,"Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.","Kiranraj K","['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']"
26,"Kimetsu no Yaiba: Natagumo Yama Hen",2020,138,8.8,"Animation, Action, Fantasy",https://m.media-amazon.com/images/M/MV5BN2EwNTUwYWItZTY4ZC00N2Q1LWFhZWQtNjMwMDBkZDVmYThjXkEyXkFqcGdeQXVyOTA2OTk0MDg@._V1_.jpg,"Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.","Haruo Sotozaki",[]
27,"Maratonci trce pocasni krug",1982,92,8.8,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BZmE4Njk2MWYtZDRlMy00OTAxLThlNWYtOTU3MGEwNTY4Nzc0XkEyXkFqcGdeQXVyMTAwNjUxNTkz._V1_.jpg,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.","Slobodan Sijan","['Bogdan Diklic', ""Danilo 'Bata' Stojkovic"", 'Pavle Vuisic', 'Mija Aleksic']"
28,"Balkanski spijun",1984,95,8.8,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BMmY1NDQ4MmYtZjYyMC00ZTFhLWIxZGUtZTE0YmI3YWNlNTRlXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_.jpg,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.","Dusan Kovacevic","[""Bozidar 'Bota' Nikolic"", ""Danilo 'Bata' Stojkovic"", 'Bora Todorovic', 'Mira Banjac', 'Sonja Savic']"
29,#Home,2021,158,8.8,Drama,https://m.media-amazon.com/images/M/MV5BNWU1ZmNlYTctYmY1My00ZDlmLTk3M2EtZDcxY2E1ZGU0N2YzXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.","Rojin Thomas","['Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']"
30,Manichitrathazhu,1993,169,8.8,"Comedy, Horror, Mystery",https://m.media-amazon.com/images/M/MV5BZjQxMmE4NDMtZGVkYi00YmQyLThiNTMtOTVmNDEyZWQ2MzUwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Fazil,"['Shobana', 'Mohanlal', 'Suresh Gopi', 'Vinaya Prasad']"
31,"Süt Kardesler",1976,80,8.8,"Comedy, Family, Mystery",https://m.media-amazon.com/images/M/MV5BMjE0ODFiMDYtMWI2NC00MjcxLThhMzUtMTBlNmNlMTE3ZDI4XkEyXkFqcGdeQXVyNTczMjA3ODg@._V1_.jpg,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                See full summary »","Ertem Egilmez","['Kemal Sunal', 'Sener Sen', 'Halit Akçatepe', 'Hale Soygazi']"
32,"Hababam Sinifi Uyaniyor",1977,94,8.8,"Adventure, Comedy",https://m.media-amazon.com/images/M/MV5BM2ZkZDU3N2YtYmM5Mi00MTQ3LWEzY2UtNDRmYzFlODM3NDQ0XkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_.jpg,"A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.","Ertem Egilmez","['Kemal Sunal', 'Münir Özkul', 'Halit Akçatepe', 'Adile Nasit']"
33,Interstellar,2014,169,8.7,"Adventure, Drama, Sci-Fi",https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Christopher Nolan","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
34,"One Flew Over the Cuckoo's Nest",1975,133,8.7,Drama,https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Milos Forman","['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
35,GoodFellas,1990,145,8.7,"Biography, Crime, Drama",https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Martin Scorsese","['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
36,"The Matrix",1999,136,8.7,"Action, Sci-Fi",https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski","['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
37,"Star Wars: Episode V - The Empire Strikes Back",1980,124,8.7,"Action, Adventure, Fantasy",https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Irvin Kershner","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
38,"The Kashmir Files",2022,170,8.7,Drama,https://m.media-amazon.com/images/M/MV5BYzJkZDIwYTAtMGU4Mi00NzU3LWI1MWItODg0M2Q1NmIxYmNlXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","Vivek Agnihotri","['Mithun Chakraborty', 'Anupam Kher', 'Darshan Kumaar', 'Pallavi Joshi']"
39,"The Legend of Maula Jatt",2022,153,8.7,"Action, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMWMwODY3MzYtYmY2MC00MDMzLWI0ZTgtYTlhODNmNWQzYmUxXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_.jpg,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.","Bilal Lashari","['Fawad Khan', 'Mahira Khan', 'Humaima Malik', 'Hamza Ali Abbasi']"
40,"Rocketry: The Nambi Effect",2022,157,8.7,"Biography, Drama",https://m.media-amazon.com/images/M/MV5BNTk2MjUxMjEtZDU5OC00MzYxLTkwMWYtMGM5YWQ0MWMyN2I1XkEyXkFqcGdeQXVyMTE0MzY0NjE1._V1_.jpg,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']"
41,"Ko to tamo peva",1980,86,8.7,"Adventure, Comedy, Drama",https://m.media-amazon.com/images/M/MV5BNWQwZmFmMTAtYTBlOS00OTE5LTkzMzEtNDg3ZjhjMmNmMmI0XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.","Slobodan Sijan","['Pavle Vuisic', 'Dragan Nikolic', ""Danilo 'Bata' Stojkovic"", 'Aleksandar Bercek']"
42,"Pariyerum Perumal",2018,154,8.7,Drama,https://m.media-amazon.com/images/M/MV5BMGYyOTdhMWEtMjdkNi00ZWJhLTkwYTUtODI0M2E4NjIzMTkyXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.","Mari Selvaraj","['Kathir', 'Anandhi', 'Yogi Babu', 'Lijeesh']"
43,"Soorarai Pottru",2020,153,8.7,"Action, Drama",https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","Sudha Kongara","['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']"
44,Toma,2021,140,8.7,"Biography, Drama, Music",https://m.media-amazon.com/images/M/MV5BNTBmZWVjMzEtZTY5Yy00ZGUxLWJhY2MtMjVlNGFlN2I0OTMxXkEyXkFqcGdeQXVyMjYyMDMxMDU@._V1_.jpg,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.","Dragan Bjelogrlic","['Zoran Lisinac', 'Milan Maric', 'Tamara Dragicevic', 'Petar Bencina', 'Andrija Kuzmanovic']"
45,"Saban Oglu Saban",1977,90,8.7,"Comedy, Crime, Mystery",https://m.media-amazon.com/images/M/MV5BZmExMWJlNDMtMTk1Yy00NjE2LTk2MWQtNTQyMDVlYThjMmU0XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_.jpg,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club ...                See full summary »","Ertem Egilmez","['Kemal Sunal', 'Halit Akçatepe', 'Sener Sen', 'Adile Nasit']"
46,"Zügürt Aga",1985,101,8.7,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BYTJhMDhlNjUtZTFlYi00ODFkLWIzNGQtNTNjMDdhMTZhYTFhXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg,"The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.","Nesli Çölgeçen","['Sener Sen', 'Erdal Özyagcilar', 'Nilgün Nazli', 'Füsun Demirel']"
47,"Kibar Feyzo",1978,83,8.7,"Comedy, Drama",https://m.media-amazon.com/images/M/MV5BZTRhM2FjNTYtMTUzZS00ZjdlLWE0NmUtMGY3NWMwZjJlZmYwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has ...                See full summary »","Atif Yilmaz","['Kemal Sunal', 'Müjde Ar', 'Adile Nasit', 'Sener Sen']"
48,Peranbu,2018,147,8.7,Drama,https://m.media-amazon.com/images/M/MV5BYWQ3NzA5MTQtYTBmYy00N2FkLTgzY2YtNGFkY2FjZTI4Njc3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.",Ram,"['Mammootty', 'Sadhana', 'Anjali', 'Anjali Ameer']"
49,"Neseli Günler",1978,95,8.7,"Comedy, Drama, Family",https://m.media-amazon.com/images/M/MV5BY2ZjNWI5YTItOTExMi00Mjg2LWJkMjAtYmE5Yzg0MTVkY2NjXkEyXkFqcGdeQXVyMTA1MzE1MjA4._V1_.jpg,"A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.","Orhan Aksoy","['Münir Özkul', 'Adile Nasit', 'Sener Sen', 'Aysen Gruda']"
50,"Saving Private Ryan",1998,169,8.6,"Drama, War",https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Steven Spielberg","['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
51,"Terminator 2: Judgment Day",1991,137,8.6,"Action, Sci-Fi",https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","James Cameron","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
52,Se7en,1995,127,8.6,"Crime, Drama, Mystery",https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","David Fincher","['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
53,"The Silence of the Lambs",1991,118,8.6,"Crime, Drama, Thriller",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jonathan Demme","['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
54,"The Green Mile",1999,189,8.6,"Crime, Drama, Fantasy",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","Frank Darabont","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
